authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/04d626a9ecb5fee2accb13ad15371aed~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f875479d&x-expires=1761944400&x-signature=v50kTaiEz%2BxYW%2FBPBTcjKIAIKS8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,realunfilteredmom,TikTok’s New Algorithm favors WATCH TIME! #newalgorithm #watchtime ,36,3,275,12,102,original sound,ShopTokHolly,True,2025-09-19T23:27:12.000Z,https://www.tiktok.com/@realunfilteredmom/video/7551945889032506654
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/362577eb0140d83947571adb796b5fb7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d37d6430&x-expires=1761944400&x-signature=RA5fc8R2xSbPqHxrqSshnaSXkWg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,_leftmyshoes,watch all videos all the way through!! #creatorsearchinsights #hashtag #hashtags #caption #watch #watchtilltheend #watchtime ,15,2,172,3,56,original sound,amycateee,True,2025-07-18T16:52:58.000Z,https://www.tiktok.com/@_leftmyshoes/video/7528465813205028151
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7342589451874336814~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=aff85a93&x-expires=1761944400&x-signature=bV9Tk5MkSHN2CXKanDNJ6FTojYs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,pirouettesuzette,#SEO #quality #engagement #trends #viral #how ,120,24,865,81,71,Enjoy the Moment,Zeca Zilocchi,False,2025-07-17T01:51:34.000Z,https://www.tiktok.com/@pirouettesuzette/video/7527862430500801805
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/42a7c51ca6237c21ab178628496b54f7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=10ffcaea&x-expires=1761944400&x-signature=m0lfrQxa9SpWcndiVD4SYSwnqF0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,lennix4311,"Did you know that when you you type in the comments <hacked> it will ban your comment. 
#scary 
#comment 
#hacker ",87,6,17400,243,15,"Spooky, quiet, scary atmosphere piano songs",Skittlegirl Sound,False,2025-01-10T15:48:54.000Z,https://www.tiktok.com/@lennix4311/video/7458314334012476695
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ed4ffc57f7956cd15b0df0406b026312~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=da5d1747&x-expires=1761944400&x-signature=5dzwQwDh70DdfcoxoaFT%2FopbwOQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,contentbytan,"It's a key metric for measuring audience engagement, a higher watch time indicates stronger audience interest and value in the content. TikTok uses watch time to determine video relevance, relevant search results, and create a  personalized user experience. #iwanttogoviral #tiktoktips #howtogoviralontiktok #tiktokgrowth #contentstrategy ",89,17,461,73,11,original sound,Sweet T | SAHM,True,2025-08-24T04:01:05.000Z,https://www.tiktok.com/@contentbytan/video/7541997093951458574
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/97e0eaf83ca7b29f7a7aeb1f0a86a60e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ecf0c923&x-expires=1761944400&x-signature=yX9aYT0Io59OmcWjNzxelGJJUu0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,acegrowth,"Comments are a great way to get more views on TikTok, here’s how and why! 

#tiktokgrowth #growontiktok #tiktokgrowthtips #getmoreviews ",4258,1058,64600,876,191,original sound,ACE Growth | TikTok Strategy,True,2024-11-25T21:54:57.000Z,https://www.tiktok.com/@acegrowth/video/7441338731610508576
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9e49cb2f387438f46be4e2f76b69102c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=34b38236&x-expires=1761944400&x-signature=BSmBsknGoi%2FgsdImY%2B1flExjaf0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,somebodysmamma,"Let’s see who actually stays past 3 seconds 👀🫣 #fyp #watchtilltheend #ProveMeWrong
#creatorsearchinsights 
#watchtime, #tiktoktips, #tutorial, #contentstrategy, #tiktokgrowth",441,66,1426,245,7,original sound,Aaron💕,True,2025-06-10T21:54:15.000Z,https://www.tiktok.com/@somebodysmamma/video/7514442278316920095
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/f8ced7f3ee7cc821f8047a43c8e05fad~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3cfe37c2&x-expires=1761944400&x-signature=Nd2cTArWYiAxlupfz87U390R2gs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bryanfahim,"Use this Hashtag Formula to go VIRAL! 📈#️⃣

✅Follow For More Valuable Tips! 
@bryanfahim

#contentmarketing #business #entrepreneurs #onlinebusiness #socialmediastrategy #socialmediagrowth #contentstrategy",95700,8596,2000000,4137,27,original sound,Bryan | Social Media Marketing,True,2024-06-18T15:23:25.000Z,https://www.tiktok.com/@bryanfahim/video/7381864219202866475
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/74773ffedd5de0bc34f71370b4b28532~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=10d8be8f&x-expires=1761944400&x-signature=wBJ%2BVjhwQuTXWluPNN9X51833AU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,iamtierrashade,Watch time > likes every single time 👏 #TikTokTips #TikTokAlgorithm #TikTokGrowth #engagementtipsforgrowth #growthtiktok ,63,12,318,42,26,WHAT YOU IS,War,True,2025-10-11T02:40:04.000Z,https://www.tiktok.com/@iamtierrashade/video/7559788359661407501
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/a69f9d4f9b07b622e412403228e042a6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5e834539&x-expires=1761944400&x-signature=F5AIz14SXlwC%2F34fcNzU12mOngs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nofilterthomas,"Hashtags are not going to make your content perform bette, because it’s a dated practice that most people are still using as a legitimate strategy.

So if hashtags aren’t a thing that pushes your content to the FYP, what are they good for then?

Hashtags can help categorize your content by putting your content on a specific page in the case of people manually searching specific hashtags.",2320,245,45800,351,145,Ipanema Beach,The Brazilians of Bossa Nova,False,2025-10-15T22:42:44.000Z,https://www.tiktok.com/@nofilterthomas/video/7561582565044342071
