authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/13f476a29af096ab50952133e7e39ac5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2b6f1e45&x-expires=1761948000&x-signature=CX34hwUNhXK1jsTkyYun4SDVO8s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bayridgebatman,part two tmrw #fyp #trending #xyzbca  #prank #funny ,866300,54100,23400000,3792,33,original sound,bayridgebatman,True,2025-08-12T02:28:40.000Z,https://www.tiktok.com/@bayridgebatman/video/7537520201995193614
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/bd13be1b9b8e3dd603c873cb35b134e1~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=37159001&x-expires=1761948000&x-signature=9PsB5lgsI%2B4t7hpwYiJS8saroQ0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,manlyseaeagles,Bro’s aura farming ,1200000,12700,39300000,2203,9,lmk ꨄ,…,True,2025-04-16T03:32:21.000Z,https://www.tiktok.com/@manlyseaeagles/video/7493748708685663506
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0d8b392ebd1d8844d03667015f3f0413~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c57973c4&x-expires=1761948000&x-signature=uHBJXp%2FT50r1Si%2FA0AvV5tTrmkc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,drawnutdawg,i love sb 💚 #fyp #starbucks ,2500000,362700,16400000,8951,26,Paligaw-Ligaw Tingin,Ashley,False,2025-09-19T22:59:49.000Z,https://www.tiktok.com/@drawnutdawg/video/7551938857952873735
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/13f476a29af096ab50952133e7e39ac5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2b6f1e45&x-expires=1761948000&x-signature=CX34hwUNhXK1jsTkyYun4SDVO8s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bayridgebatman,she actually called cops #prank #fyp #funny #trending ,800300,71400,17100000,5417,37,original sound,bayridgebatman,True,2025-08-14T05:07:48.000Z,https://www.tiktok.com/@bayridgebatman/video/7538303434638773535
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/b79bd17a1bb40bc572517bc56d275f86~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=bd8d9623&x-expires=1761948000&x-signature=piz9761Qq8c6YPqFxmDVbWzhWoU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,thehartigfamily,Spoiled princess just like mom🥹💯👑 #gasstation #snacks #spoiled ,354500,19900,3700000,278,14,Whatta Man (feat. En Vogue),Salt 'N' Pepa,False,2025-10-07T23:12:34.000Z,https://www.tiktok.com/@thehartigfamily/video/7558621554196614414
https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=164af7c0&x-expires=1761948000&x-signature=Jq6tEUGdPw7qHx86Hz4LsXshnCM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,randomnnnnuserzzz,BRO SHE CHASED ME AROUND THE WHOLE STORE 😭😭😭 #fyp #viral #prank #funny ,203600,23300,2500000,1365,60,original sound,randomnnnnuserzzz,True,2025-09-23T03:18:28.000Z,https://www.tiktok.com/@randomnnnnuserzzz/video/7553118701042584862
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cae33cea516f5d574e99e7accd74347e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=53cef84d&x-expires=1761948000&x-signature=FprFIi6kdSMWMbScp1frhkzR2Vc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,user535527014,Apple Pay prank,394000,72800,5600000,1452,55,original sound,Michelle,True,2025-09-10T07:49:29.000Z,https://www.tiktok.com/@user535527014/video/7548364434197040398
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c3246e601aa9553d83f9dd7483ef5161~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d3cb05d8&x-expires=1761948000&x-signature=S2NE6XbneybbS3uH5NlQAPed1Ts%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,thejuveniless,"She was so loud😂😂😭
#applepay #prank #foryou #xyzbca #publicpranks ",76100,3788,1000000,490,64,original sound,TheJuvenilessOfficial,True,2025-09-04T19:55:48.000Z,https://www.tiktok.com/@thejuveniless/video/7546325133124799775
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7327149211646951466~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f18bee85&x-expires=1761948000&x-signature=AKhL2bl3F%2FI9HbX0he4usF19CSQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,meganmillion100,THAT TOOK A TURN WHAT😂😂😭😭 #nyc #fyp #foryou #freewill #haha #lmao #lol #prank #meganmillion ,2100000,57300,14800000,4592,39,original sound,Megan Million☀️⭐️,True,2025-06-18T13:47:31.000Z,https://www.tiktok.com/@meganmillion100/video/7517285473627278623
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/8a52428da845f4f85b70dad86af2810e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b3babcdb&x-expires=1761948000&x-signature=%2FTF2crl1GQzGot7C1B5CEqfmkkE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,aaronlonii,#foryou #aaronloni #freewill #applepay ,420300,62900,11700000,2861,20,original sound,Aaron Loni,True,2025-05-01T17:18:54.000Z,https://www.tiktok.com/@aaronlonii/video/7499527797124107563
